///////////////////////////////////////////////////////////////////////////////////
///                                                                             ///
///                                                                             ///
///              QQQ       UUU  UUU    KKK   KK    EEEEEEE    TTTTTTT           ///
///             Q   Q       u    U      K   K       E    E    T  T  T           ///
///            Q     Q      U    U      K  K        E  E         T              ///
///            Q     Q      U    U      KKK         EEEE         T              ///
///            Q QQQ Q      U    U      K  K        E  E         T              ///
///             Q   Q       U    U      K   K       E    E       T              ///
///              QQQ QQ      UUUU      KKK   KK    EEEEEEE      TTT             ///
///                                                                             ///
///                      Quantum Computing Simulator Ver 0.4 dev                ///
///                                                                             ///
///        Copyright 2019-2021                                                  ///
///        QC Project Team, Ten-no Research Group                               ///
///        All rights Reserved.                                                 ///
///                                                                             ///
///////////////////////////////////////////////////////////////////////////////////
Start at 2021-02-27 16:38:17.758846
+-------------+
|  Job #   1  |
+-------------+
8 processes  x  2 threads  =  Total 16 cores
Performing QITE for heisenberg Hamiltonian
Initial configuration: |0101>
Convergence criteria:  ftol = 1E-09 
Inexact QITE: Pauli operator group size = 256
  0.46:  E  = -7.650742781809  CPU Time =  0.57
  0.47:  E  = -7.651591893468  CPU Time =  0.57
  0.48:  E  = -7.652321194436  CPU Time =  0.57
  0.49:  E  = -7.652947609689  CPU Time =  0.57
  0.50:  E  = -7.653485672294  CPU Time =  0.56
  0.51:  E  = -7.653947861415  CPU Time =  0.57
  0.52:  E  = -7.654344892590  CPU Time =  0.57
  0.53:  E  = -7.654685967005  CPU Time =  0.57
  0.54:  E  = -7.654978985553  CPU Time =  0.57
  0.55:  E  = -7.655230732632  CPU Time =  0.56
  0.56:  E  = -7.655447033971  CPU Time =  0.57
  0.57:  E  = -7.655632892145  CPU Time =  0.56
  0.58:  E  = -7.655792602928  CPU Time =  0.56
  0.59:  E  = -7.655929855206  CPU Time =  0.57
  0.60:  E  = -7.656047816757  CPU Time =  0.57
  0.61:  E  = -7.656149207903  CPU Time =  0.57
  0.62:  E  = -7.656236364762  CPU Time =  0.57
  0.63:  E  = -7.656311293539  CPU Time =  0.57
  0.64:  E  = -7.656375717159  CPU Time =  0.57
  0.65:  E  = -7.656431115296  CPU Time =  0.57
  0.66:  E  = -7.656478758748  CPU Time =  0.57
  0.67:  E  = -7.656519738953  CPU Time =  0.57
  0.68:  E  = -7.656554993332  CPU Time =  0.57
  0.69:  E  = -7.656585327044  CPU Time =  0.57
  0.70:  E  = -7.656611431680  CPU Time =  0.56
  0.71:  E  = -7.656633901296  CPU Time =  0.57
  0.72:  E  = -7.656653246195  CPU Time =  0.56
  0.73:  E  = -7.656669904753  CPU Time =  0.56
  0.74:  E  = -7.656684253579  CPU Time =  0.57
  0.75:  E  = -7.656696616232  CPU Time =  0.56
  0.76:  E  = -7.656707270713  CPU Time =  0.56
  0.77:  E  = -7.656716455893  CPU Time =  0.57
  0.78:  E  = -7.656724377038  CPU Time =  0.57
  0.79:  E  = -7.656731210551  CPU Time =  0.57
  0.80:  E  = -7.656737108038  CPU Time =  0.57
  0.81:  E  = -7.656742199812  CPU Time =  0.57
  0.82:  E  = -7.656746597892  CPU Time =  0.57
  0.83:  E  = -7.656750398581  CPU Time =  0.57
  0.84:  E  = -7.656753684683  CPU Time =  0.57
  0.85:  E  = -7.656756527401  CPU Time =  0.57
  0.86:  E  = -7.656758987974  CPU Time =  0.58
  0.87:  E  = -7.656761119078  CPU Time =  0.57
  0.88:  E  = -7.656762966032  CPU Time =  0.56
  0.89:  E  = -7.656764567829  CPU Time =  0.56
  0.90:  E  = -7.656765958029  CPU Time =  0.56
  0.91:  E  = -7.656767165521  CPU Time =  0.57
  0.92:  E  = -7.656768215179  CPU Time =  0.57
  0.93:  E  = -7.656769128423  CPU Time =  0.57
  0.94:  E  = -7.656769923706  CPU Time =  0.56
  0.95:  E  = -7.656770616928  CPU Time =  0.56
  0.96:  E  = -7.656771221795  CPU Time =  0.56
  0.97:  E  = -7.656771750123  CPU Time =  0.56
  0.98:  E  = -7.656772212105  CPU Time =  0.56
  0.99:  E  = -7.656772616534  CPU Time =  0.56
  1.00:  E  = -7.656772971002  CPU Time =  0.56
  1.01:  E  = -7.656773282064  CPU Time =  0.56
  1.02:  E  = -7.656773555385  CPU Time =  0.57
  1.03:  E  = -7.656773795859  CPU Time =  0.56
  1.04:  E  = -7.656774007721  CPU Time =  0.56
  1.05:  E  = -7.656774194634  CPU Time =  0.56
  1.06:  E  = -7.656774359772  CPU Time =  0.56
  1.07:  E  = -7.656774505882  CPU Time =  0.56
  1.08:  E  = -7.656774635348  CPU Time =  0.56
  1.09:  E  = -7.656774750237  CPU Time =  0.57
  1.10:  E  = -7.656774852345  CPU Time =  0.56
  1.11:  E  = -7.656774943232  CPU Time =  0.57
  1.12:  E  = -7.656775024254  CPU Time =  0.56
  1.13:  E  = -7.656775096594  CPU Time =  0.56
  1.14:  E  = -7.656775161280  CPU Time =  0.56
  1.15:  E  = -7.656775219210  CPU Time =  0.57
  1.16:  E  = -7.656775271169  CPU Time =  0.56
  1.17:  E  = -7.656775317841  CPU Time =  0.56
  1.18:  E  = -7.656775359826  CPU Time =  0.57
  1.19:  E  = -7.656775397649  CPU Time =  0.57
  1.20:  E  = -7.656775431771  CPU Time =  0.57
  1.21:  E  = -7.656775462597  CPU Time =  0.56
  1.22:  E  = -7.656775490484  CPU Time =  0.57
  1.23:  E  = -7.656775515743  CPU Time =  0.57
  1.24:  E  = -7.656775538653  CPU Time =  0.57
  1.25:  E  = -7.656775559456  CPU Time =  0.57
  1.26:  E  = -7.656775578370  CPU Time =  0.57
  1.27:  E  = -7.656775595585  CPU Time =  0.56
  1.28:  E  = -7.656775611271  CPU Time =  0.57
  1.29:  E  = -7.656775625579  CPU Time =  0.56
  1.30:  E  = -7.656775638643  CPU Time =  0.57
  1.31:  E  = -7.656775650582  CPU Time =  0.56
  1.32:  E  = -7.656775661503  CPU Time =  0.57
  1.33:  E  = -7.656775671502  CPU Time =  0.57
  1.34:  E  = -7.656775680663  CPU Time =  0.57
  1.35:  E  = -7.656775689064  CPU Time =  0.56
  1.36:  E  = -7.656775696773  CPU Time =  0.57
  1.37:  E  = -7.656775703853  CPU Time =  0.56
  1.38:  E  = -7.656775710358  CPU Time =  0.57
  1.39:  E  = -7.656775716338  CPU Time =  0.56
